
Bin Id	Marker lineage	UID	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	iRep	raw iRep	r^2	coverage	% window passing filter	fragments/Mpb	GC bias	GC r^2	MaGe-Order#
G03-7.contigs.002	k__Bacteria	(UID203)	5449	104	58	2	55	34	12	1	0	97.41	25.14	18.42	2.584029773	2.54958748	0.936756988	20.37504848	98.24	302	-43.1344057	0.375459705	
K11-7.contigs.003	f__Bacillaceae	(UID830)	27	604	178	10	587	7	0	0	0	97.41	1.15	28.57	1.484739914	1.489607911	0.984896456	13.72142761	99.41	149	-4.034779062	0.191456178	
L05-7.contigs.001	k__Bacteria	(UID203)	5449	104	58	2	82	20	0	0	0	96.55	12.95	5	3.94756722	5.430952016	0.961652695	1363.2307	97.77	104	3149.451966	0.207972844	
G05-7.contigs.002	o__Lactobacillales	(UID544)	293	475	267	18	441	13	3	0	0	95.51	3.03	13.64	3.236332985	3.98570289	0.987356804	135.8225358	99.59	55	81.50260013	0.094672733	
K18-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	19	456	0	0	0	0	95.13	0	0	2.181694243	2.575052888	0.989662053	717.774747	100	15	1550.113891	0.260653636	
L11-7.contigs.001	k__Bacteria	(UID203)	5449	104	58	3	73	28	0	0	0	94.83	5.96	7.14	1.753301622	2.134387396	0.97724992	773.3165479	99.69	58	1871.124734	0.336567632	
G05-7.contigs.003	k__Bacteria	(UID203)	5449	103	58	7	47	30	16	3	0	93.65	85.58	29.17	9.359336915	9.852585759	0.993526721	22.90113091	99.54	299	0.968559013	0.013524779	completeness/contamination-ratio for exclusion
K17-7.contigs.002	f__Bacillaceae	(UID830)	27	604	178	49	536	19	0	0	0	90.98	2.52	26.32	1.638072886	1.729910421	0.970384354	32.4580219	98.24	309	-13.07165366	0.35085335	
G15-7.contigs.005	k__Bacteria	(UID203)	5449	104	58	14	63	24	3	0	0	89.42	22.52	0	2.054579267	2.447662759	0.982025455	7.362828214	99.39	433	-7.616164441	0.237602156	
G17-7.contigs.002	g__Staphylococcus	(UID298)	56	805	176	111	690	4	0	0	0	83.52	0.25	0	6.43471474	11.46074198	0.978251461	223.6055033	97.52	232	619.4432911	0.190776065	
G14-7.contigs.004	g__Staphylococcus	(UID298)	56	805	176	167	541	89	8	0	0	80.31	11.06	2.65	4.986605827	7.359745206	0.950085904	18.41145293	98.21	507	-9.095399876	0.201759268	
K18-7.contigs.007	k__Bacteria	(UID203)	5449	104	58	40	35	17	12	0	0	75.86	58.62	20.75	2.587493545	2.634179518	0.99371327	18.09690402	100	570	-0.107466742	0.004333083	
L10-7.contigs.002	g__Staphylococcus	(UID294)	60	773	178	184	585	4	0	0	0	67.8	0.47	0	5.59819066	6.398605357	0.943596479	105.9597181	95.11	372	0.080852307	0.000939119	
L07-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	169	292	12	2	0	0	59.18	1.31	5.56	2.651629126	3.437283257	0.961235733	995.2619031	99.64	75	2112.455704	0.217195715	
G11-7.contigs.003	g__Staphylococcus	(UID298)	56	805	176	319	459	26	1	0	0	56.53	3.52	44.83	13.13310231	14.53268097	0.938425392	99.8574236	90.06	415	-14.51918541	0.0327622	
K18-7.contigs.002	f__Bifidobacteriaceae	(UID1462)	65	476	217	234	242	0	0	0	0	55.76	0	0	1.335467971	1.370384205	0.980469075	629.742116	100	23	-39.18434201	0.077981822	
G15-7.contigs.002	k__Bacteria	(UID203)	5449	104	58	69	35	0	0	0	0	51.72	0	0	1.930415821	3.263667671	0.983553744	1276.520925	99.37	57	5685.965406	0.433804025	
L11-7.contigs.002	g__Staphylococcus	(UID294)	60	773	178	319	432	21	1	0	0	50.43	2.77	54.17	2.791275726	4.932238617	0.98688101	357.0150076	98.3	129	1454.901057	0.338124335	
G15-7.contigs.004	g__Staphylococcus	(UID294)	60	773	178	343	417	13	0	0	0	48.44	3.14	23.08	3.18013738	3.245676034	0.981540291	14.1773746	100	523	-0.278069261	0.007500768	
K18-7.contigs.003	k__Bacteria	(UID203)	5449	103	57	72	31	0	0	0	0	47.37	0	0	1.393445147	1.462494531	0.994720859	492.9241896	100	23	-87.53915213	0.130037785	
G15-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	227	248	0	0	0	0	46.44	0	0	1.654786215	1.912131262	0.983281243	1630.646334	100	48	3449.49621	0.303646431	
K18-7.contigs.008	f__Bacillaceae	(UID830)	27	604	178	365	233	6	0	0	0	34.43	0.39	16.67	1.489414397	1.532369623	0.985011609	5.156707795	99.28	624	-1.826682088	0.15718675	
L05-7.contigs.002	g__Staphylococcus	(UID294)	60	773	178	476	279	17	1	0	0	33	2.35	55	35.15575348	27.25966151	0.970816518	283.686887	76.49	465	-53.27582578	0.066254284	
L07-7.contigs.002	k__Bacteria	(UID203)	5449	104	58	83	21	0	0	0	0	32.76	0	0	4.786492577	8.789604256	0.979649783	596.9391637	98.07	78	2073.366731	0.272590808	
K11-7.contigs.002	g__Lactobacillus	(UID377)	91	430	154	272	156	2	0	0	0	32.09	0.05	50	2.030412104	2.233200704	0.969405333	29.17803589	93.96	539	52.72527429	0.391222128	
K18-7.contigs.005	k__Bacteria	(UID203)	5449	104	58	59	32	12	1	0	0	17.24	5.17	86.67	1.77967259	1.777054662	0.989890065	78.83897682	100	293	0.031695851	0.00107536	
L08-7.contigs.002	g__Staphylococcus	(UID294)	60	773	178	644	127	2	0	0	0	14.82	0.04	0	19.93992504	35.097964	0.992365378	282.2200144	83.64	459	-65.79041154	0.053826087	
G15-7.contigs.003	g__Staphylococcus	(UID294)	60	773	178	638	135	0	0	0	0	14.33	0	0	4.356988975	5.098244176	0.99318413	167.1707853	96.98	169	23.7438015	0.045064931	
K18-7.contigs.006	g__Staphylococcus	(UID298)	56	805	176	663	110	32	0	0	0	12.14	1.34	3.12	1.77967259	1.777054662	0.989890065	78.83897682	100	293	0.031695851	0.00107536	
K18-7.contigs.004	root	(UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	7.012626004	8.031492749	0.990224773	297.9767073	99.18	135	248.3386183	0.088996265	
																							
																							
G03-3-001	k__Bacteria 	(UID203)	5449	104	58	1	74	28	1	0	0	98.28	8.78	0	3.359069196	4.841873862	0.724366276	33.35896106	94.89	132	27.65324047	0.157327291	
G03-3-002	k__Bacteria 	(UID203)	5449	104	58	13	62	17	3	4	5	94.08	28.79	2.94	1.545005678	1.569686841	0.979847384	3.306590076	99.97	640	0.925190698	0.109124385	
G05-3-001	o__Lactobacillales 	(UID544)	293	475	267	1	472	2	0	0	0	99.63	0.37	0	2.84193407	3.568699044	0.997170792	1199.812376	99.46	64	2738.51516	0.258466016	
G05-3-002	g__Lactobacillus 	(UID436)	31	586	184	202	379	5	0	0	0	65.33	0.35	20	2.889461031	3.000996931	0.903006457	28.86467796	97.05	587	0.11144872	0.015461757	
G11-3-001	o__Lactobacillales 	(UID544)	293	475	267	1	473	1	0	0	0	99.63	0.19	0	2.932486957	5.447190762	0.972160694	1437.863242	99.88	56	7899.922669	0.414849465	
G11-3-002	g__Lactobacillus 	(UID436)	31	586	184	1	516	63	5	1	0	99.46	16.77	0	1.851860607	1.907430912	0.652793208	81.01313848	87.44	145	0.216074451	0.005815091	
G12-3-001	o__Lactobacillales 	(UID544)	293	475	267	1	473	1	0	0	0	99.63	0.19	0	3.715117557	5.039416142	0.994765655	1379.179882	99.43	61	4647.574516	0.285673395	
G12-3-002	g__Lactobacillus	 (UID436)	31	586	184	1	582	3	0	0	0	99.46	0.77	0	1.431022527	2.063621224	0.952857233	68.9391221	99.11	78	80.52210506	0.479358698	
G13-3-001	o__Lactobacillales 	(UID544)	293	475	267	1	473	1	0	0	0	99.63	0.19	0	1.460185885	1.981472413	0.944181562	1199.673137	99.81	55	4515.120037	0.481262478	
G13-3-002	k__Bacteria 	(UID203)	5449	104	58	1	59	44	0	0	0	98.28	45.13	0	6.32E+21	231.0970723	0.200985028	38.04812419	98.22	385	-169.5652554	0.440812067	
G14-3-001	o__Lactobacillales	 (UID544)	293	475	267	1	473	1	0	0	0	99.63	0.19	0	1.935812861	2.878016042	0.988393724	1405.921019	99.56	57	5816.311944	0.436548814	
G14-3-002	g__Lactobacillus 	(UID436)	31	586	184	1	528	55	2	0	0	99.46	8.7	0	2.33729278	2.879613909	0.900326849	41.70216049	99.22	127	-19.83381671	0.294809395	
G17-3-001	o__Lactobacillales 	(UID544)	293	475	267	1	473	1	0	0	0	99.63	0.19	0	1.316352974	1.694452799	0.930821153	1178.859505	100	57	2063.053429	0.31700172	
G17-3-002	g__Lactobacillus 	(UID436)	31	586	184	12	538	35	1	0	0	98.5	7.2	5.26	4.770958146	5.338298525	0.985210898	6.709185975	99.31	473	-0.06935023	0.015165076	
K16-3-001	f__Enterobacteriaceae 	(UID5124)	134	1173	336	688	485	0	0	0	0	38.13	0	0	1.221281369	1.257930143	0.663432362	1138.23759	100	31	259.973874	0.14901456	
K16-3-002	k__Bacteria 	(UID203)	5449	104	58	72	32	0	0	0	0	50	0	0	1.267164917	1.325986935	0.997794751	941.8029221	99.93	27	435.6631177	0.330594808	
K18-1-001	f__Enterobacteriaceae 	(UID5066)	55	546	224	250	261	25	3	3	4	50.51	6.44	5.62	1.46783181	1.497697704	0.987277278	3.345630014	99.95	536	0.273460498	0.065130788	
K18-1-002	k__Bacteria 	(UID203)	5449	104	58	39	42	11	6	2	4	53.5	11.56	2.06	1.534337179	1.566525604	0.98459792	2.942305983	99.94	688	0.131752616	0.040532427	
L02-3-001	k__Bacteria 	(UID203)	5449	104	58	30	29	21	17	5	2	59.87	37.35	1.5	5.365062774	2.691960393	0.928354452	9.298265371	82.45	589	-16.3794979	0.294484546	
L02-3-002	f__Enterobacteriaceae 	(UID5066)	55	546	224	224	286	26	5	1	4	57.96	9.43	3.02	1.490607152	1.511386394	0.987741423	2.646360188	99.93	692	0.104266502	0.042397964	
L05-3-001	o__Lactobacillales 	(UID544)	293	475	267	1	473	1	0	0	0	99.63	0.19	0	2.852152468	4.540890044	0.929179011	604.0693448	100	62	1803.807838	0.302944541	
L05-3-002	k__Bacteria 	(UID203)	5449	104	58	0	52	46	5	1	0	100	41.43	0	2.724987598	2.120509905	0.963492977	4.011894838	94.66	689	0.979498322	0.088088476	
L18-1-001	k__Bacteria 	(UID203)	5449	104	58	45	56	3	0	0	0	86.21	2.59	66.67	1.58506706	1.799789344	0.968009632	4.680351942	99.92	117	2.819507868	0.267776224	
L18-1-002	k__Bacteria 	(UID203)	5449	104	58	26	51	25	2	0	0	65.52	6.49	83.87	1.712738123	1.847135217	0.982361898	3.194730171	100	272	1.550968898	0.164540234	
L18-1-003	k__Archaea 	(UID2)	207	149	107	112	23	10	4	0	0	23.75	11.68	0	1.577785625	1.614949102	0.981199571	3.811702392	99.92	707	0.145101978	0.037376384	
L18-1-004	f__Enterobacteriaceae 	(UID5124)	134	1173	336	839	286	30	9	3	6	31.81	7.93	5.78	1.473580584	1.495594036	0.987575966	2.954193234	99.95	620	0.139371289	0.04946779	
L18-3-001	f__Enterobacteriaceae 	(UID5162)	88	1207	328	2	1203	2	0	0	0	99.93	0.1	0	1.23805608	1.374465878	0.991438415	342.8761281	99.65	37	231.453952	0.319866282	
L18-3-002	o__Lactobacillales 	(UID544)	293	475	267	7	451	15	0	1	1	97.82	2.28	5.56	4.454967383	2.811100665	0.950317607	2.455210503	99.51	695	-4.071344809	0.258589878	
																							
																							
																							
																							
	https://github.com/christophertbrown/iRep																						
																							
	≥ 75% completeness																						
	≤ 175 fragments / Mbp sequence																						
	≤ 2% contamination																						
	≥ 5kbp scaffold length																						
																							
	min cov =5																						
	min wins= 0.98	% window passing filter?																					
	min r^2= 0.9																						
	max frag/Mbp = 175																						
	GC correction min r^2 =0.0																						
																							
